expression;categorie
avoir les grelots;8
avoir les jetons;8
blindé;8
bloqué;8
chaviré;8
circonspect;8
coupable;8
craintif;8
dans des affres;8
dans des transes;8
déchiré;8
effarouché;8
effrayé;8
embarrassé;8
en alerte;8
en désarroi;8
en détresse;8
envieux;8
faire tourner les sangs;8
fébrile;8
gêné;8
hérissé;8
impatient;8
incrédule;8
inquiet;8
intimidé;8
jaloux;8
mal à l’aise;8
mal assuré;8
méfiant;8
pantelant;8
pessimiste;8
plein d’appréhension;8
plein de convoitise;8
plein de hâte;8
plein de pudeur;8
plein de trac;8
plus mort que vif;8
préoccupé;8
prudent;8
réservé;8
réticent;8
sceptique;8
se faire de la bile;8
se faire du mauvais sang;8
se faire du mouron;8
se faire un sang d’encre;8
se retourner les sangs;8
se ronger les moelles;8
se ronger les poings;8
se ronger les sangs;8
soucieux;8
soupçonneux;8
sur des braises;8
sur des charbons ardents;8
sur la défensive;8
sur la réserve;8
sur le qui-vive;8
sur ses gardes;8
suspicieux;8
timoré;8
tomber de haut;8
transi;8
traumatisé;8
tremblant;8
trémulant;8
vulnérable;8
épouvanté;9
glacé de peur;9
horrifié;9
paniqué;9
plein d’effroi;9
plein de frousse;9
terrifié;9
terrorisé;9
traumatisé;9
à plat;10
abattu;10
abruti;10
absent;10
accablé;10
affaibli;10
alangui;10
amoindri;10
anesthésié;10
apathique;10
appesanti;10
assourdi;10
atone;10
au bout du rouleau;10
baisser les bras;10
ballotté;10
blasé;10
bloqué;10
chaviré;10
claqué;10
confus;10
coupé;10
crevé;10
dans tous ses états;10
débordé;10
déchiré;10
déconnecté;10
démobilisé;10
démonté;10
démuni;10
dépassé;10
dépourvu;10
déprimé;10
déréglé;10
désarmé;10
désespéré;10
désoeuvré;10
détraqué;10
diminué;10
distant;10
distrait;10
divisé;10
ébranlé;10
écartelé;10
effondré;10
embarrassé;10
embrouillé;10
emmêlé;10
en retrait;10
en suspens;10
endormi;10
engourdi;10
ennuyé;10
éprouvé;10
épuisé;10
éreinté;10
essouflé;10
éteint;10
étiolé;10
exténué;10
fatigué;10
flageolant;10
flapi;10
fourbu;10
harassé;10
hésitant;10
impuissant;10
inattentif;10
incertain;10
incommodé;10
inconfortable;10
indécis;10
indéterminé;10
indifférent;10
indolent;10
inerte;10
insensibilisé;10
instable;10
intimidé;10
irrésolu;10
K.-O.;10
languissant;10
las;10
lassé;10
léthargique;10
lourd;10
mal à l’aise;10
mal assuré;10
moulu;10
n’en pouvoir plus;10
ne pas savoir sur quel;10
pied danser;10
pantelant;10
partagé;10
paumé;10
pensif;10
perdre la boussole;10
perdre pied;10
perdu;10
perplexe;10
perturbé;10
piteux;10
plein d’atermoiement;10
plein de doute;10
plein de scrupules;10
plein de tergiversation;10
plein de torpeur;10
plus mort que vif;10
ramolli;10
recru;10
rendu;10
résigné;10
rêveur;10
rompu;10
roué de fatigue;10
sans élan;10
sans entrain;10
saturé;10
seul;10
somnolent;10
souffrant;10
soûlé;10
sous pression;10
submergé;10
sur la retenue;10
sur les dents;10
surmené;10
tanné;10
terrassé;10
tiède;10
timide;10
tiraillé;10
usé;10
vanné;10
vaseux;10
vidé;10
vulnérable;10
